guessed_brand_name,product_count,parent_company,source_note,match_type
Banjara,10,,,
Banjaras,32,,,
Bath,7,,,
Baygon,9,,,
Bd,55,,,
Bds,6,,,
Be,5,,,
Beclate,6,,,
Becocnx,5,,,
Becosules,8,Pfizer Ltd,Pfizer's B-complex brand,exact
Becozinc,5,,,
Bee,11,,,
Bella,13,,,
Bellavita,5,,,
Bellissa,7,,,
Bemzire,5,,,
Ben,5,,,
Benadryl,11,,,
Benidin,7,,,
Benitec,5,,,
Benitowa,10,,,
Benzac,6,,,
Beplex,13,,,
Bepride,5,,,
Besicor,6,,,
Besoloc,5,,,
Best,8,,,
Bestozyme,6,,,
Beta,9,,,
Betacap,8,,,
Betacard,5,,,
Betaderm,8,,,
Betadine,21,Win-Medicare Pvt Ltd,Indian licensee brand,exact
Betaglim,5,,,
Betagly,5,,,
Betaloc,6,,,
Betamet,6,,,
Betamil,6,,,
Betaone,5,,,
Betasalic,5,,,
Betavert,5,,,
Bethadoxin,5,,,
Betnesol,6,,,
Betnovate,7,,,
Betonin,11,,,
Betzee,5,,,
Beurer,6,,,
Bevon,7,,,
Bew,41,,,
Bi,11,,,
Bicef,5,,,
X,17,,,
Bifilac,13,,,
Big,8,,,
Bigen,12,,,
Bigfun,5,,,
Bigomet,6,,,
Bigtel,5,,,
Bilast,5,,,
Bilasure,7,,,
Biluma,9,,,
Bio,46,,,
Biocobal,8,,,
Bioderma,7,,,
Biolane,10,,,
Bioline,15,,,
Bionova,9,,,
Biopride,7,,,
Biotax,6,,,
Biotique,47,,,
Biotor,10,,,
Biovit,11,,,
Bisleri,6,,,
Bisobis,8,,,
Bisoduce,6,,,
Bisofig,7,,,
Bisoheart,8,,,
Bisojoy,8,,,
Bisomep,7,,,
Bisonext,7,,,
Bisopharm,7,,,
Bisoreg,6,,,
Bisotab,6,,,
Black,8,,,
Bladmir,5,,,
Blescox,5,,,
Blesdomox,5,,,
Blisto,10,,,
Blocpro,5,,,
Blood,8,,,
Blue,14,,,
Blumox,13,,,
Bluvit,5,,,
Bombay,13,,,
Bon,7,,,
Bone,10,,,
Bonebase,8,,,
Bonestat,5,,,
Bonical,5,,,
Bonne,9,,,
Bonny,5,,,
Bonnyboo,11,,,
Bontress,5,,,
Boost,13,Hindustan Unilever Ltd,HUL acquired GSK Consumer's food/drinks brands,exact
Boric,20,,,
Boro,14,,,
Boroline,6,,,
Boroplus,15,,,
Bournvita,12,,,
Br,5,,,
Brain,10,,,
Braingates,5,,,
Brevipil,6,,,
Bricanyl,6,,,
Bricarex,6,,,
Bricet,5,,,
Briglim,8,,,
Brihans,9,,,
Brilante,6,,,
Brintop,11,,,
Britam,7,,,
Britannia,70,,,
Brite,7,,,
Britel,11,,,
Britorva,6,,,
Britzilam,8,,,
Briv,5,,,
Brivasure,6,,,
Brivazen,7,,,
Brivgard,5,,,
Brivup,5,,,
Bro,10,,,
Brozeet,8,,,
Brufen,11,,,
Brut,5,,,
Brutacross,5,,,
Brutaflam,5,,,
Brylcreem,11,,,
Bs,7,,,
Btn,5,,,
Budaform,7,,,
Budamate,16,,,
Budate,9,,,
Budecort,9,,,
Budesal,5,,,
Budetrol,12,,,
Bumtum,5,,,
Burn,8,,,
Burnol,8,,,
Buscopan,5,,,
Bvert,5,,,
Bylenta,15,,,
Cad,5,,,
Cadbury,75,,,
Cadilose,8,,,
Cadmet,5,,,
Cadvast,5,,,
Cal,32,,,
Calbona,8,,,
Calchek,6,,,
Calci,5,,,
Calcidash,5,,,
Calcifit,6,,,
Calcigard,5,,,
Calcijoint,9,,,
Calcimax,15,,,
Calciquick,10,,,
Calcirol,10,,,
Calcium,27,,,
Calcose,6,,,
Calday,5,,,
Caldikind,9,,,
Caldison,5,,,
Calgrow,6,,,
Calinta,6,,,
Calorich,5,,,
Calosoft,6,,,
Calpiva,13,,,
Calpol,9,,,
Calpsor,5,,,
Calshine,6,,,
Campa,19,,,
Campure,7,,,
Candex,10,,,
Candid,46,,,
Candiforce,5,,,
Canditral,6,,,
Canesten,9,,,
Carbophage,8,,,
Carca,7,,,
Cardace,14,,,
Cardiopril,6,,,
Cardiorostin,5,,,
Cardirose,12,,,
Cardivas,9,,,
Cardules,5,,,
Care,15,,,
Carefree,5,,,
Carewell,6,,,
Carloc,5,,,
Carmesi,7,,,
Carmicide,6,,,
Carminozyme,6,,,
Carmozyme,6,,,
Carnisure,7,,,
Carpro,5,,,
Cartigen,8,,,
Carvidon,5,,,
Carvistar,5,,,
Castor,15,,,
Cathy,5,,,
Cc,5,,,
Cd,6,,,
Cdm,6,,,
Ceastra,5,,,
Cebaxim,8,,,
Cedon,5,,,
Cefadrox,7,,,
Cefadur,6,,,
Cefakind,5,,,
Ceff,8,,,
Cefi,7,,,
Cefolac,19,,,
Cefopen,7,,,
Cefoprox,7,,,
Ceftas,11,,,
Celehealth,6,,,
Celevida,26,,,
Celin,8,,,
Celnutra,5,,,
Celol,7,,,
Censpram,5,,,
Centrum,22,,,
Cepodem,15,,,
Ceramed,5,,,
Cerave,9,,,
Cerelac,42,Nestle India Ltd,Nestle brand,exact
Cervical,23,,,
Cetanil,14,,,
Cetaphil,81,,,
Cetapin,7,,,
Cetil,6,,,
Cetrilak,5,,,
Cetritreat,5,,,
Cetzine,7,,,
Chandra,5,,,
Chandrika,6,,,
Charlie,6,,,
Cheri,8,,,
Chericof,10,,,
Chest,12,,,
Cheston,18,Cipla Ltd,Cipla brand,exact
Chicco,39,,,
Chik,6,,,
Chiro,6,,,
Chlorocol,5,,,
Chromic,15,,,
Chubby,5,,,
Chymoral,6,,,
Cidmus,6,,,
Cifran,13,,,
Cilacar,15,,,
Cilaheart,9,,,
Cilapam,11,,,
Cilclark,5,,,
Cildip,5,,,
Cildipin,5,,,
Cilidin,13,,,
Cilix,14,,,
Cilnamep,10,,,
Cilnikem,6,,,
Cilnipres,15,,,
Cilnitab,5,,,
Cilny,7,,,
Cilory,6,,,
Cilovas,6,,,
Cilvoryl,6,,,
Cinod,9,,,
Cinthol,16,,,
Cipcal,9,,,
Cipladine,14,,,
Ciplar,7,,,
Ciplox,12,,,
Cir,8,,,
Ciss,5,,,
Cita,6,,,
Cital,5,,,
Citalin,6,,,
Citra,5,,,
Ciza,5,,,
Cizorest,5,,,
Claglid,7,,,
Clamp,8,,,
Claribid,6,,,
Clarigard,5,,,
Classic,40,,,
Clavam,18,,,
Clavicle,5,,,
Clavix,8,,,
Clawtor,5,,,
Clean,38,,,
Clear,14,,,
Clearasil,6,,,
Clindac,8,,,
Clingen,5,,,
Clinic,26,,,
Clinmiskin,5,,,
Clinsol,8,,,
Cloba,7,,,
Clobester,6,,,
Clobirex,5,,,
Clocip,9,,,
Clofert,5,,,
Cloff,5,,,
Clohex,7,,,
Clomic,8,,,
Clonafit,5,,,
Clonam,5,,,
Clonapax,5,,,
Clonate,5,,,
Clonax,5,,,
Clonotril,6,,,
Clop,16,,,
Clopibond,5,,,
Clopiday,5,,,
Clopinate,8,,,
Clopitab,10,,,
Close,7,,,
Closeup,22,,,
Closol,5,,,
Clotnil,5,,,
Clotrin,10,,,
Clovate,7,,,
Clove,6,,,
Cloze,5,,,
Cm,5,,,
Co,25,,,
Cobalife,5,,,
Codesoft,6,,,
Codistar,6,,,
Coecoral,9,,,
Coehb,5,,,
Cofrite,6,,,
Cofsils,12,,,
Cogni,5,,,
Cognipride,6,,,
Cognisart,8,,,
Colgate,160,Colgate-Palmolive (India) Ltd,Indian arm of Colgate-Palmolive,exact
Colicaid,5,,,
Colimex,7,,,
Collashot,6,,,
Com,10,,,
Combiflam,9,Sanofi India Ltd,Sanofi brand,exact
Combihale,14,,,
Combimist,7,,,
Combine,5,,,
Combitide,6,,,
Combutol,6,,,
Comfort,9,,,
Complan,40,Zydus Wellness Ltd,Zydus Wellness acquired from Heinz,exact
Complete,8,,,
Comprezon,6,,,
Conchol,6,,,
Concor,10,,,
Conicobal,5,,,
Conifix,5,,,
Conimox,7,,,
Conivit,9,,,
Consivas,12,,,
Contiflo,5,,,
Contour,13,,,
Contramal,5,,,
Control,13,,,
Contus,7,,,
Coq,11,,,
Cor,6,,,
Corbis,14,,,
Corcium,8,,,
Corditel,8,,,
Core,6,,,
Corex,6,Pfizer Ltd,Pfizer brand (regulatory status varies),exact
Coriminic,15,,,
Coronation,6,,,
Corsita,5,,,
Cortel,17,,,
Cortimax,6,,,
Coscopin,7,,,
Cosklot,6,,,
Cosmelite,7,,,
Cosmo,14,,,
Cospiaq,8,,,
Cosvate,19,,,
Cotton,13,,,
Coughwar,6,,,
Covance,5,,,
Covatil,6,,,
Coversyl,11,,,
Cpink,9,,,
Cq,5,,,
Creator,5,,,
Crediroz,6,,,
Cremadiet,6,,,
Cremaffin,9,,,
Creon,5,,,
Cresar,17,,,
Cresp,8,,,
Crevast,15,,,
Crixan,6,,,
Crocin,15,Haleon (formerly GSK Consumer Healthcare),GSK consumer arm spun into Haleon globally,exact
Ctasorin,8,,,
Ctd,29,,,
Culmi,5,,,
Cupid,15,,,
Cupride,7,,,
Curcon,5,,,
Cure,8,,,
Cutel,7,,,
Cutenox,6,,,
Cuticura,9,,,
Cutimax,6,,,
Cutin,5,,,
Cutis,6,,,
Cutiyt,8,,,
Cv,6,,,
Cyblex,20,,,
Cyclopam,12,,,
Cynocal,5,,,
Cypon,7,,,
Cyra,9,,,
Cz,6,,,
D3,56,,,
Da,6,,,
Dabur,186,Dabur India Ltd,Public company,exact
Dacne,6,,,
Dafax,7,,,
Daffy,7,,,
Daily,8,,,
Dajio,5,,,
Damita,5,,,
Dan,10,,,
Dapa,9,,,
Dapabite,8,,,
Dapaclan,5,,,
Dapacose,8,,,
Dapaease,5,,,
Dapagain,5,,,
Dapaglyn,14,,,
Dapagold,7,,,
Dapagrav,5,,,
Dapahenz,12,,,
Dapalex,8,,,
Dapamac,9,,,
Dapaneu,10,,,
Dapanorm,25,,,
Dapanova,14,,,
Dapaone,13,,,
Dapapep,5,,,
Daparyl,18,,,
Dapasach,10,,,
Dapatab,5,,,
Dapatech,5,,,
Dapaturn,15,,,
Dapavel,17,,,
Dapazol,7,,,
Dapcard,8,,,
Dapefy,9,,,
Daplo,13,,,
Daprica,7,,,
Dapspire,5,,,
Darolac,9,,,
Dayclazide,7,,,
Dbh,10,,,
De,5,,,
Decolic,10,,,
Defcort,9,,,
Defmet,6,,,
Defza,5,,,
Deksel,7,,,
Del,5,,,
Delcon,7,,,
Deletus,9,,,
Demelan,6,,,
Densaid,5,,,
Densical,5,,,
Densita,7,,,
Dente,9,,,
Dentoshine,21,,,
Denver,38,,,
Depaxil,5,,,
Depiglow,6,,,
Depitrip,6,,,
Depiwhite,5,,,
Deplatt,10,,,
Depran,5,,,
Deramed,8,,,
Derinide,7,,,
Deriphyllin,16,,,
Deriva,5,,,
Derma,6,,,
Dermadew,42,,,
Dermdoc,6,,,
Dermicool,16,,,
Dermikem,5,,,
Dermoys,7,,,
Dershine,6,,,
Dersil,5,,,
Dersol,8,,,
Desval,5,,,
Dettol,137,Reckitt Benckiser (India) Ltd,RB brand,exact
Dew,8,,,
Dewderm,9,,,
Dewsoft,8,,,
Dexolac,27,,,
Dextrose,8,,,
Dfo,13,,,
Dhanvantari,5,,,
Dhathri,7,,,
Dhouti,7,,,
Diabeet,5,,,
Diabend,7,,,
Diablin,6,,,
Diaclide,7,,,
Diacobal,8,,,
Diamicron,6,,,
Dianext,7,,,
Dianorm,9,,,
Diapride,28,,,
Diataal,6,,,
Diawyn,9,,,
Diclocend,7,,,
