excluded_name,approved_display_name
Dabur,Dabur India
Galderma,Galderma India
Glenmark,Glenmark Pharmaceuticals
Hamdard,Hamdard Dawakhana
Hamdard Laboratories India,Hamdard Dawakhana
Zandu Pharmaceutical Works,Zandu
