guessed_trade_name,parent_brand,product_count,sample_product,confidence,linking_method,,
Folisurge,Unlinked,4,Folisurge 1200iu 1 92ml Inj,LOW,None,,
Gl,Unlinked,4,Gl Amino 200ml Inj,LOW,None,,
Gonal,Unlinked,4,Gonal F 300iu Inj,LOW,None,,
Grandem,Unlinked,4,Grandem 1mg Inj,LOW,None,,
Hemsyl,Unlinked,4,Hemsyl 2ml Inj,LOW,None,,
Heparen,Unlinked,4,Heparen 1000 5000iu 5ml Inj,LOW,None,,
Homin,Unlinked,4,Homin 1ml Inj,LOW,None,,
Homisure,Unlinked,4,Homisure Plus 2ml Inj,LOW,None,,
Hopstin,Unlinked,4,Hopstin 1miu Inj,LOW,None,,
Idrofos,Unlinked,4,Idrofos 1mg 6ml Iv Inj,LOW,None,,
Insucare,Unlinked,4,Insucare M50 40iu 10ml Inj,LOW,None,,
Jectocos,Unlinked,4,Jectocos 1 5ml Inj,LOW,None,,
Kenadion,Unlinked,4,Kenadion 10mg 1ml Inj,LOW,None,,
Lacopsy,Unlinked,4,Lacopsy 20ml 10mg Ml Inj,LOW,None,,
Lantus,Sanofi India,4,Lantus Cartridge 100iu 3ml Inj,HIGH,Verified Pharma Trade DB,,
Lesuride,Unlinked,4,Lesuride 2ml Inj,LOW,None,,
Levoflox,Unlinked,4,Levoflox 100ml Iv Inj,LOW,None,,
Lmwx,Unlinked,4,Lmwx 20mg Inj,LOW,None,,
Luprodex,Unlinked,4,Luprodex Depot 11 25mg Inj,LOW,None,,
Magnex,Unlinked,4,Magnex 1gm Inj,LOW,None,,
Maxcobal,Unlinked,4,Maxcobal 1000mcg Inj,LOW,None,,
Mecofree,Unlinked,4,Mecofree 2ml Inj,LOW,None,,
Meconeuron,Unlinked,4,Meconeuron Inj,LOW,None,,
Mego,Unlinked,4,Mego Inj,LOW,None,,
Mont,Unlinked,4,Mont Mrp 1gm Inj,LOW,None,,
Montaz,Unlinked,4,Montaz 1 125gm Inj,LOW,None,,
Neodrol,Unlinked,4,Neodrol 1gm Inj Neo,LOW,None,,
Netromycin,Unlinked,4,Netromycin 10mg Inj,LOW,None,,
Neutron,Unlinked,4,Neutron 1ml Inj,LOW,None,,
Novomix,Unlinked,4,Novomix 30 Flexpen 100iu 3ml Inj,LOW,None,,
Octride,Unlinked,4,Octride 100mcg Inj,LOW,None,,
Oltum,Unlinked,4,Oltum S 1 5gm Inj,LOW,None,,
Ondet,Unlinked,4,Ondet 2ml Inj,LOW,None,,
Onvin,Unlinked,4,Onvin 2mg Inj,LOW,None,,
Optineuron,Unlinked,4,Optineuron Forte 3ml Inj,LOW,None,,
Reactin,Unlinked,4,Reactin 75mg 1ml Inj,LOW,None,,
Reglan,Unlinked,4,Reglan 2ml Inj,LOW,None,,
Relinase,Unlinked,4,Relinase La Inj,LOW,None,,
Renocrit,Unlinked,4,Renocrit 10000iu Inj,LOW,None,,
Renoheal,Unlinked,4,Renoheal 100ml Iv Inj,LOW,None,,
Rockbon,Unlinked,4,Rockbon Pth Pen Inj,LOW,None,,
Ropin,Unlinked,4,Ropin 0 5percent 20ml Inj,LOW,None,,
Sam,Unlinked,4,Sam Mb 10ml Inj,LOW,None,,
Solumedrol,Unlinked,4,Solumedrol 125 Mg Inj,LOW,None,,
Strolin,Unlinked,4,Strolin 2 250mg 2ml Inj,LOW,None,,
Tazar,Unlinked,4,Tazar 2 25gm Inj,LOW,None,,
Td,Unlinked,4,Td Vac 0 5ml Inj Td,LOW,None,,
Tidilan,Unlinked,4,Tidilan 2ml Inj,LOW,None,,
Tranlok,Unlinked,4,Tranlok 500mg 5ml Inj,LOW,None,,
Trenaxa,Unlinked,4,Trenaxa Inj,LOW,None,,
Vitneurin,Unlinked,4,Vitneurin 3ml Inj,LOW,None,,
Zaxter,Unlinked,4,Zaxter 1gm Inj,LOW,None,,
Zonamax,Unlinked,4,Zonamax 1gm Inj,LOW,None,,
Crape,Unlinked,4,Crape Bandages 2 Intch,LOW,None,,
Transpore,Unlinked,4,Transpore 1 2 Intch,LOW,None,,
Invalid,Unlinked,4,Invalid Fs912l Walker Fold With Wheel Aluminium,LOW,None,,
Ciprobid,Unlinked,4,Ciprobid 100ml Iv,LOW,None,,
Levoday,Unlinked,4,Levoday 100ml Iv,LOW,None,,
Lizomac,Unlinked,4,Lizomac 100ml Iv,LOW,None,,
Megazolid,Unlinked,4,Megazolid 100ml Iv,LOW,None,,
Metron,Unlinked,4,Metron 100ml Iv,LOW,None,,
Graduate,Unlinked,4,Graduate Duch Chocolate Flavour 300gm Jar,LOW,None,,
Ecg,Unlinked,4,Ecg Electrodes Kenny Ecg,LOW,None,,
Adjustable,Unlinked,4,Adjustable Dumbbell From 2kg To 16kg,LOW,None,,
Altris,Unlinked,4,Altris Hd Hair Hue Therapy Dark Brown Kit,LOW,None,,
Duovir,Unlinked,4,Duovir E Kit,LOW,None,,
Femoston,Unlinked,4,Femoston 1 10mg 28s Tab Combipack Kit,LOW,None,,
Flotral,Unlinked,4,Flotral D Kit,LOW,None,,
Trust,Unlinked,4,Trust Antigen Kit,LOW,None,,
Mankind,Mankind Pharma,4,Mankind Unwanted Kit,HIGH,Exact Parent Brand Match,,
Bailley,Unlinked,4,Bailley Packaged Drinking Water 1l,LOW,None,,
Bodizon,Unlinked,4,Bodizon Knee Cap Deluxe Size L,LOW,None,,
Silco,Unlinked,4,Silco Silver Soft Cervical Collar Size L,LOW,None,,
Truuth,Unlinked,4,Truuth Knee Support Size L,LOW,None,,
Cling,Unlinked,4,Cling Post Maternity Corest Large,LOW,None,,
Male,Unlinked,4,Male Cath Ex Large,LOW,None,,
Presens,Unlinked,4,Presens Medical Compression Thigh Length Stockings Large,LOW,None,,
Arlin,Unlinked,4,Arlin 50ml Liniment,LOW,None,,
Acetone,Unlinked,4,Acetone 100ml Liquid,LOW,None,,
Cystone,Himalaya Wellness,4,Cystone Sf 200ml Liquid,HIGH,Verified Pharma Trade DB,,
Dresin,Unlinked,4,Dresin Oral Rinse N Gargle 100ml Liquid,LOW,None,,
Gynedol,Unlinked,4,Gynedol 200ml Liquid,LOW,None,,
Hepatogard,Unlinked,4,Hepatogard 100ml Liquid,LOW,None,,
Immulina,Unlinked,4,Immulina 100ml Liquid,LOW,None,,
Krishna,Unlinked,4,Krishna Thulsi Hair Tone 100ml Liquid,LOW,None,,
Rcifax,Unlinked,4,Rcifax 60ml Liquid,LOW,None,,
Rebalanz,Unlinked,4,Rebalanz Ors Who Apple 200ml Liquid,LOW,None,,
Rejucalcium,Unlinked,4,Rejucalcium 200ml Liquid,LOW,None,,
Varunadi,Unlinked,4,Varunadi Kadha 400ml Liquid,LOW,None,,
Afedol,Unlinked,4,Afedol Fr 60ml Lotion,LOW,None,,
Aquadew,Unlinked,4,Aquadew Moisturizing 400gm Lotion,LOW,None,,
Caladryl,Unlinked,4,Caladryl 120ml Lotion,LOW,None,,
Calora,Unlinked,4,Calora 100ml Lotion,LOW,None,,
Dipsalic,Unlinked,4,Dipsalic Lotion,LOW,None,,
Elugia,Unlinked,4,Elugia Cleanser 125ml Lotion,LOW,None,,
Fenceta,Unlinked,4,Fenceta Perm 50ml Lotion,LOW,None,,
Glymed,Unlinked,4,Glymed 100ml Lotion,LOW,None,,
Glyolive,Unlinked,4,Glyolive Moisturizing 100ml Lotion,LOW,None,,
Hhsalic,Unlinked,4,Hhsalic 10ml Lotion,LOW,None,,
Imograf,Unlinked,4,Imograf Forte 20ml Lotion,LOW,None,,
Kidogem,Unlinked,4,Kidogem Moisturizing 100ml Lotion,LOW,None,,
Logidruf,Unlinked,4,Logidruf 100ml Lotion,LOW,None,,
Lookman,Unlinked,4,Lookman E Hayat Tail 200ml Lotion,LOW,None,,
Melagard,Unlinked,4,Melagard 100ml Lotion,LOW,None,,
Niosalic,Unlinked,4,Niosalic 50ml Lotion,LOW,None,,
Novale,Unlinked,4,Novale 60ml Lotion,LOW,None,,
Prugo,Unlinked,4,Prugo Soothing 100ml Lotion,LOW,None,,
Scabelice,Unlinked,4,Scabelice 100ml Lotion,LOW,None,,
Scaboma,Unlinked,4,Scaboma 100ml Lotion,LOW,None,,
Softsens,Unlinked,4,Softsens 200ml Body Lotion,LOW,None,,
Sorifix,Unlinked,4,Sorifix 15ml Lotion,LOW,None,,
Sper,Unlinked,4,Sper Sunscreen Spf 26 100ml Lotion,LOW,None,,
Terfin,Unlinked,4,Terfin F 15ml Lotion,LOW,None,,
Trichonic,Unlinked,4,Trichonic Mx 60ml Lotion,LOW,None,,
Herbal,Unlinked,4,Herbal Phenyl Jasmine 1 Ltr,LOW,None,,
Adhesive,Unlinked,4,Adhesive Tape Healoplast 1 25cm X1m,LOW,None,,
Disha,Unlinked,4,Disha Cotton Crepe Bandage 10cmx4m,LOW,None,,
Rgb,Unlinked,4,Rgb Resistance Bands Size M,LOW,None,,
Sharkoferrol,Unlinked,4,Sharkoferrol 200gm Malts,LOW,None,,
Venus,Unlinked,4,Venus N 95 Face Mask,LOW,None,,
Maxi,Unlinked,4,Maxi Kids Tongue Cleaner 6m,LOW,None,,
Medicrepe,Unlinked,4,Medicrepe Cotton Crepe Bandage 10cm X 4mt Sama,LOW,None,,
Humming,Unlinked,4,Humming Bird Orthopaedic Heat Belt Medium,LOW,None,,
Lorfast,Unlinked,4,Lorfast Meltab,LOW,None,,
Mentos,Unlinked,4,Mentos Fruit Stick 18,LOW,None,,
Breathe,Unlinked,4,Breathe O Meter,LOW,None,,
Limcee,Unlinked,4,Limcee Chewable Tablets 500 Mg,LOW,None,,
Pyzina,Unlinked,4,Pyzina Kid Dt 300mg,LOW,None,,
Aris,Unlinked,4,Aris Deo Body Spray Eclipse Pour Femme 200ml,LOW,None,,
Banocide,Unlinked,4,Banocide 120mg 5ml,LOW,None,,
Broncho,Unlinked,4,Broncho Rub Pain Relief Balm Cool Relief 10ml,LOW,None,,
Bruit,Unlinked,4,Bruit Instinct 200ml,LOW,None,,
Chetak,Unlinked,4,Chetak Enema Can Set 1500ml,LOW,None,,
Clenzo,Unlinked,4,Clenzo Antiseptic Handwash 250ml,LOW,None,,
Ducray,Unlinked,4,Ducray Anaphase Stimulating Cream Shampoo 100ml,LOW,None,,
He,Unlinked,4,He Innovator Perfumed Body Spray For Men 150 Ml He,LOW,None,,
Maclar,Unlinked,4,Maclar Suspension 30ml,LOW,None,,
Measuring,Unlinked,4,Measuring Cylinder 100ml,LOW,None,,
Niva,Unlinked,4,Niva Body Lotion 200ml,LOW,None,,
Ossa,Unlinked,4,Ossa Magnet Eau De Parfum 100ml,LOW,None,,
Palmolive,Unlinked,4,Palmolive Aroma Absolute Relax Shower Gel 250 Ml,LOW,None,,
Pipettes,Unlinked,4,Pipettes 10ml,LOW,None,,
Renocia,Unlinked,4,Renocia Hair Revitalizing Conditioner 110ml,LOW,None,,
Hamdard,Unlinked,4,Hamdard Roghan Badam Shirin Sweet Almond Oil 100ml,LOW,None,,
Rose,Unlinked,4,Rose Water 60ml,LOW,None,,
Rumago,Unlinked,4,Rumago Pain Relief 100ml,LOW,None,,
Sandu,Unlinked,4,Sandu Amritarishta 200ml,LOW,None,,
Turpentine,Unlinked,4,Turpentine Liniment 100ml,LOW,None,,
Vanesa,Unlinked,4,Vanesa Diva Body Deodorant 150ml,LOW,None,,
Xamic,Unlinked,4,Xamic Inj 5ml,LOW,None,,
Yardly,Unlinked,4,Yardly London Original Deodorant Roll On 50ml,LOW,None,,
3m,Unlinked,4,3m Micropore Tape 0 5 Inch,LOW,None,,
Monocryl,Unlinked,4,Monocryl 1205 4 0,LOW,None,,
Hydent,Unlinked,4,Hydent 360 100ml Mouthwash,LOW,None,,
Vantej,Unlinked,4,Vantej Aqua 100ml Mouthwash,LOW,None,,
Nelcath,Unlinked,4,Nelcath No 14 Nel,LOW,None,,
Mits,Unlinked,4,Mits Pro Mct 100ml Oil,LOW,None,,
Herpikind,Unlinked,4,Herpikind 10gm Oint,LOW,None,,
Mpower,Unlinked,4,Mpower 5gm Oint,LOW,None,,
Novanib,Unlinked,4,Novanib T 15gm Oint,LOW,None,,
Pigmento,Unlinked,4,Pigmento 50gm Oint,LOW,None,,
Pilex,Unlinked,4,Pilex 30gm Oint,LOW,None,,
Povi,Unlinked,4,Povi 10 Oint,LOW,None,,
Psorolin,Unlinked,4,Psorolin 75gm Oint,LOW,None,,
Salicylix,Unlinked,4,Salicylix Sf 12 30gm Oint,LOW,None,,
Salid,Unlinked,4,Salid 12 50gm Oint,LOW,None,,
Tfct,Unlinked,4,Tfct Nib 15gm Oint,LOW,None,,
Tofasure,Unlinked,4,Tofasure 15gm Oint,LOW,None,,
Tofatas,Unlinked,4,Tofatas 15gm Oint,LOW,None,,
Lupisafe,Unlinked,4,Lupisafe Sanatizing Alcohol Wet Wipes 10s Pack,LOW,None,,
Nicorite,Unlinked,4,Nicorite 2mg 30s Pack,LOW,None,,
Lexanox,Unlinked,4,Lexanox 10gm Oral Paste,LOW,None,,
Curkey,Unlinked,4,Curkey 100mg Pastilles,LOW,None,,
Albuzest,Unlinked,4,Albuzest Hepa Vanilla Flavour 400gm Powder,LOW,None,,
Amaze,Unlinked,4,Amaze Brain Food Chocolate 150gm Powder,LOW,None,,
Benefit,Unlinked,4,Benefit D 200gm Powder,LOW,None,,
Cystop,Unlinked,4,Cystop Obis 5gm Powder,LOW,None,,
Ecoprot,Unlinked,4,Ecoprot Chocolate 200gm Powder,LOW,None,,
Fibril,Unlinked,4,Fibril 100gm Powder,LOW,None,,
Flexi,Unlinked,4,Flexi Pep 10 7gm Powder,LOW,None,,
Flumet,Unlinked,4,Flumet Dusting 75gm Powder,LOW,None,,
Glucipro,Unlinked,4,Glucipro Active Plus Creamy Vanilla 400gm Powder,LOW,None,,
Itchstop,Unlinked,4,Itchstop Prickly Heat Floral Jasmine 175gm Powder,LOW,None,,
Ketofly,Unlinked,4,Ketofly Dusting 50gm Powder,LOW,None,,
Ketograce,Unlinked,4,Ketograce Reno Mango Flavour 300gm Powder,LOW,None,,
Magix,Unlinked,4,Magix D Vanilla Flavour Tin 200gm Powder,LOW,None,,
Niofine,Unlinked,4,Niofine 50gm Powder,LOW,None,,
Nusobee,Unlinked,4,Nusobee Casein Follow Up Formula 2 400gm Tin Powder,LOW,None,,
Protimed,Unlinked,4,Protimed Advance Dry Fruits 200gm Powder,LOW,None,,
Provexia,Unlinked,4,Provexia Chocolate 200gm Powder,LOW,None,,
Rematin,Unlinked,4,Rematin Ibd Vanilla Flavour 400gm Powder,LOW,None,,
Renopro,Unlinked,4,Renopro Hp Vanilla Flavour Bib 400gm Powder,LOW,None,,
Spert,Unlinked,4,Spert Chocolate 200gm Powder,LOW,None,,
Sustacal,Unlinked,4,Sustacal Junior Chocolate 200gm Powder,LOW,None,,
Tyteen,Unlinked,4,Tyteen Chocolate 200gm Powder,LOW,None,,
Veelac,Unlinked,4,Veelac Rice 400gm Powder,LOW,None,,
Walking,Unlinked,4,Walking Stick Quadri,LOW,None,,
Relyon,Unlinked,4,Relyon Gut Surgical Suture M 4282 Size 4 0,LOW,None,,
Roller,Unlinked,4,Roller Bandage 10cmx10m Ramji Medi Tex,LOW,None,,
Derisone,Unlinked,4,Derisone 100mcg 30s Rotacaps,LOW,None,,
Dewfresh,Unlinked,4,Dewfresh Colonge Soap Strips 10s,LOW,None,,
Notty,Unlinked,4,Notty Boy Bigg Bang 4in1 Condoms 10s,LOW,None,,
Nua,Unlinked,4,Nua Zero Irritation Ultra Sanitary Pads Assorted Pack 3xl 5xl 4l 12s,LOW,None,,
Realcare,Unlinked,4,Realcare Body Wipes 10s,LOW,None,,
Ryze,Unlinked,4,Ryze 2mg Nicotine Gums Frosty Mint 9s,LOW,None,,
Teddy,Unlinked,4,Teddy Baay Diaper Pants Easy Xl 24s,LOW,None,,
Uni,Unlinked,4,Uni Pro Adult Diapers Unisex L 10s,LOW,None,,
Lrzin,Unlinked,4,Lrzin 6gm Sachet,LOW,None,,
Argi,Unlinked,4,Argi Wyn Orange 5gm Sachet,LOW,None,,
Arkacal,Unlinked,4,Arkacal D3 60k 1gm Sachet,LOW,None,,
Crantop,Unlinked,4,Crantop 5gm Sachet,LOW,None,,
Enhance,Unlinked,4,Enhance Gold 5gm Qurewell Sachet,LOW,None,,
Obesigo,Unlinked,4,Obesigo Chocolate 7x50gm Sachet,LOW,None,,
Rowasa,Unlinked,4,Rowasa Pellets 1gm Sachet,LOW,None,,
Vegaz,Unlinked,4,Vegaz Od 1gm Sachet,LOW,None,,
4season,Unlinked,4,4season Acne 75gm Soap,LOW,None,,
Densyl,Unlinked,4,Densyl P Hair Growth 50ml Serum,LOW,None,,
Proanagen,Unlinked,4,Proanagen Stem Advance 60ml Hair Serum,LOW,None,,
Racine,Unlinked,4,Racine Pro 30ml Hair Serum,LOW,None,,
Root,Unlinked,4,Root Care 75ml Hair Serum,LOW,None,,
Tririse,Unlinked,4,Tririse 60ml Hair Serum,LOW,None,,
Dankare,Unlinked,4,Dankare Plus 100ml Shampoo,LOW,None,,
Minopep,Unlinked,4,Minopep Anti Hair Fall 250ml Shampoo,LOW,None,,
Thoraco,Unlinked,4,Thoraco Lumbar Appliance Nova Size Small,LOW,None,,
Acnestal,Unlinked,4,Acnestal 75gm Soap,LOW,None,,
Pathiglo,Unlinked,4,Pathiglo 75gm Soap,LOW,None,,
Skinsect,Unlinked,4,Skinsect Basil 100gm Soap,LOW,None,,
Bilazest,Unlinked,4,Bilazest Kids 60ml Oral Solution,LOW,None,,
Bresol,Unlinked,4,Bresol Ns 10ml Nasal Solution,LOW,None,,
Brivahenz,Unlinked,4,Brivahenz 100ml Oral Solution,LOW,None,,
Chekfall,Unlinked,4,Chekfall 10percent 60ml Topical Solution,LOW,None,,
Coverit,Unlinked,4,Coverit 10percent60ml Solution,LOW,None,,
Emty,Unlinked,4,Emty 100ml Oral Solution,LOW,None,,
Inbilt,Unlinked,4,Inbilt 5percent 50ml Solution,LOW,None,,
Melbild,Unlinked,4,Melbild 10ml Solution,LOW,None,,
Melboost,Unlinked,4,Melboost 2ml Solution,LOW,None,,
Minoboost,Unlinked,4,Minoboost 5percent 60ml Topical Hair Solution,LOW,None,,
Mx,Unlinked,4,Mx 10percent60ml Solution Mx,LOW,None,,
Noculi,Unlinked,4,Noculi 450ml Oral Solution,LOW,None,,
Strandz,Unlinked,4,Strandz 10percent 60ml Solution,LOW,None,,
Valpido,Unlinked,4,Valpido 200ml Oral Solution,LOW,None,,
Valrate,Unlinked,4,Valrate 100ml Solution,LOW,None,,
Cipher,Unlinked,4,Cipher Air Freshener Enchanting Rose 230ml Spray,LOW,None,,
Ezicas,Unlinked,4,Ezicas Az 7ml Spray,LOW,None,,
Gtn,Unlinked,4,Gtn 200md Spray Gtn,LOW,None,,
Magvion,Unlinked,4,Magvion 100ml Spray,LOW,None,,
Reebok,Unlinked,4,Reebok Activate Your Senses 150ml Body Spray,LOW,None,,
Xymoheal,Unlinked,4,Xymoheal 50gm Spray,LOW,None,,
Tadasure,Unlinked,4,Tadasure 10mg Orally Disintegrating Strip,LOW,None,,
Dulcoflex,Unlinked,4,Dulcoflex Adults 10mg Supp,LOW,None,,
Gerbisa,Unlinked,4,Gerbisa 10mg Supp,LOW,None,,
Rectol,Unlinked,4,Rectol 125mg Supp,LOW,None,,
Abd,Unlinked,4,Abd 10ml Susp Abd,LOW,None,,
Aceto,Unlinked,4,Aceto 60ml 125mg Susp,LOW,None,,
Azax,Unlinked,4,Azax 100mg 15ml Susp,LOW,None,,
Azicip,Unlinked,4,Azicip 100mg 15ml Susp,LOW,None,,
Azikem,Unlinked,4,Azikem 30ml Oral Susp,LOW,None,,
Bax,Unlinked,4,Bax Cv Dry 30ml Susp Bax,LOW,None,,
Cefitaxe,Unlinked,4,Cefitaxe O Dry 30ml Susp,LOW,None,,
Cefnest,Unlinked,4,Cefnest Of 30ml Oral Susp,LOW,None,,
Cepoway,Unlinked,4,Cepoway 30ml Oral Susp,LOW,None,,
Cetrizine,Unlinked,4,Cetrizine 30ml Susp,LOW,None,,
Cheer,Unlinked,4,Cheer 120mg 60ml Susp,LOW,None,,
Clarinova,Unlinked,4,Clarinova 30ml Susp,LOW,None,,
Clarit,Unlinked,4,Clarit 125mg 30ml Oral Susp,LOW,None,,
Eltocin,Unlinked,4,Eltocin 120ml Susp,LOW,None,,
Enzocort,Unlinked,4,Enzocort Oral 30ml Susp,LOW,None,,
Foloup,Unlinked,4,Foloup Ds 100mg 30ml Susp,LOW,None,,
Frisium,Unlinked,4,Frisium 100ml Susp,LOW,None,,
Hhamclav,Unlinked,4,Hhamclav Ds 30ml Susp,LOW,None,,
Immunace,Unlinked,4,Immunace 200ml Liquid Susp,LOW,None,,
Levokast,Unlinked,4,Levokast 60ml Susp,LOW,None,,
Levoz,Unlinked,4,Levoz M 60ml Susp,LOW,None,,
Liveril,Unlinked,4,Liveril 200ml Susp,LOW,None,,
Malidens,Unlinked,4,Malidens 60ml Susp,LOW,None,,
Medler,Unlinked,4,Medler Plus 60ml Susp,LOW,None,,
Microbact,Unlinked,4,Microbact Xl 100mg Redimed 30ml Susp,LOW,None,,
Nam,Unlinked,4,Nam Safe 60ml Susp Nam,LOW,None,,
Ofler,Unlinked,4,Ofler M 30ml Susp,LOW,None,,
Perampa,Unlinked,4,Perampa 100ml Oral Susp,LOW,None,,
Prulastin,Unlinked,4,Prulastin M 60ml Susp,LOW,None,,
Rapiclav,Unlinked,4,Rapiclav Dry 30ml Susp,LOW,None,,
Reheptin,Unlinked,4,Reheptin Rf 200ml Susp,LOW,None,,
Sancium,Unlinked,4,Sancium D 200ml Susp,LOW,None,,
Solacid,Unlinked,4,Solacid 170ml Susp,LOW,None,,
Spectratil,Unlinked,4,Spectratil 50mg 30ml Susp,LOW,None,,
Steomin,Unlinked,4,Steomin P 200ml Susp,LOW,None,,
Sucrachem,Unlinked,4,Sucrachem 100ml Susp,LOW,None,,
Sucragel,Unlinked,4,Sucragel O 200ml Susp,LOW,None,,
Tricaine,Unlinked,4,Tricaine Alma Gel 200ml Susp,LOW,None,,
Zithium,Unlinked,4,Zithium Xl 100mg 30ml Susp,LOW,None,,
Zovatil,Unlinked,4,Zovatil 125mg 30ml Oral Susp,LOW,None,,
Zydol,Unlinked,4,Zydol 60ml Susp,LOW,None,,
Alez,Unlinked,4,Alez 60ml Syp,LOW,None,,
Ancer,Unlinked,4,Ancer Af Syp,LOW,None,,
Aristopod,Unlinked,4,Aristopod 100mg 30ml Dry Syp,LOW,None,,
Axvitall,Unlinked,4,Axvitall Gold 200ml Syp,LOW,None,,
Azifine,Unlinked,4,Azifine 100mg 15ml Syp,LOW,None,,
Azimax,Unlinked,4,Azimax 200mg Syp,LOW,None,,
Aziwin,Unlinked,4,Aziwin 100mg 5ml Syp,LOW,None,,
Bacigyl,Unlinked,4,Bacigyl 30ml Syp,LOW,None,,
Bilafav,Unlinked,4,Bilafav M 60ml Syp,LOW,None,,
Bilazap,Unlinked,4,Bilazap M 60ml Syp,LOW,None,,
Cavit,Unlinked,4,Cavit 150ml Syp,LOW,None,,
Cerecetam,Unlinked,4,Cerecetam 100ml Syp,LOW,None,,
Cereflo,Unlinked,4,Cereflo 100ml Syp,LOW,None,,
Cetiriz,Unlinked,4,Cetiriz 30ml Syp,LOW,None,,
Ciplactin,Unlinked,4,Ciplactin 200ml Syp,LOW,None,,
Clistin,Unlinked,4,Clistin Dx 100ml Syp,LOW,None,,
Cofstop,Unlinked,4,Cofstop A 100ml Syp,LOW,None,,
Cognicare,Unlinked,4,Cognicare 200ml Syp,LOW,None,,
Cogvin,Unlinked,4,Cogvin 200ml Syp,LOW,None,,
Coralium,Unlinked,4,Coralium D3 100ml Syp,LOW,None,,
Coznil,Unlinked,4,Coznil Dx 100ml Syp,LOW,None,,
Criz,Unlinked,4,Criz 60ml Syp,LOW,None,,
Decoril,Unlinked,4,Decoril 100ml Syp,LOW,None,,
Dotcoff,Unlinked,4,Dotcoff 100ml Syp,LOW,None,,
Exil,Unlinked,4,Exil 100ml Expectorent Syp,LOW,None,,
Fenixa,Unlinked,4,Fenixa 100ml Syp,LOW,None,,
Flocetam,Unlinked,4,Flocetam Syp,LOW,None,,
Ignicar,Unlinked,4,Ignicar 200ml Syp,LOW,None,,
Incid,Unlinked,4,Incid L 60ml Syp,LOW,None,,
Iq,Unlinked,4,Iq Star 100ml Syp Iq,LOW,None,,
Kiwicet,Unlinked,4,Kiwicet Lm Kd 60ml Syp,LOW,None,,
Klarim,Unlinked,4,Klarim Dry 30ml Syp,LOW,None,,
Lacoxa,Unlinked,4,Lacoxa 100ml Syp,LOW,None,,
Leviwyn,Unlinked,4,Leviwyn 100ml Syp,LOW,None,,
Levzin,Unlinked,4,Levzin M 60ml Syp,LOW,None,,
Logical,Unlinked,4,Logical 200ml Syp,LOW,None,,
Medzovit,Unlinked,4,Medzovit 200ml Syp,LOW,None,,
Metoxim,Unlinked,4,Metoxim 50mg Syp,LOW,None,,
Minmin,Unlinked,4,Minmin 200ml Syp,LOW,None,,
Montewok,Unlinked,4,Montewok Lc 30ml Syp,LOW,None,,
Montral,Unlinked,4,Montral 60ml Syp,LOW,None,,
Neeri,Unlinked,4,Neeri Kft 200ml Syp,LOW,None,,
Nimegesic,Unlinked,4,Nimegesic 60ml Syp,LOW,None,,
Nimek,Unlinked,4,Nimek Para 60ml Syp,LOW,None,,
Normet,Unlinked,4,Normet 30ml Syp,LOW,None,,
Okacet,Unlinked,4,Okacet 30ml Syp,LOW,None,,
Oriel,Unlinked,4,Oriel M Syp,LOW,None,,
Peritol,Unlinked,4,Peritol 200ml Syp,LOW,None,,
Pirament,Unlinked,4,Pirament 100ml Syp,LOW,None,,
Polares,Unlinked,4,Polares 50mg Syp,LOW,None,,
Practin,Unlinked,4,Practin 200ml Syp,LOW,None,,
Predone,Unlinked,4,Predone 60ml Syp,LOW,None,,
Pulmoclear,Unlinked,4,Pulmoclear 100ml Syp,LOW,None,,
Relikast,Unlinked,4,Relikast Lc Kid 60ml Syp,LOW,None,,
Reswas,Dr. Reddy's Laboratories,4,Reswas Cough 120ml Syp,HIGH,Verified Pharma Trade DB,,
Rhino,Unlinked,4,Rhino Lc 60ml Syp,LOW,None,,
Ritecef,Unlinked,4,Ritecef O 100mg 30ml Dry Syp,LOW,None,,
Safexim,Unlinked,4,Safexim 50mg 30ml Dry Syp,LOW,None,,
Satrogyl,Unlinked,4,Satrogyl O 30ml Syp,LOW,None,,
Storax,Unlinked,4,Storax 60ml Syp,LOW,None,,
Sundari,Unlinked,4,Sundari Kalp 200ml Syp,LOW,None,,
Synclar,Unlinked,4,Synclar 125mg Dry 30ml Syp,LOW,None,,
Toonz,Unlinked,4,Toonz 100ml Syp,LOW,None,,
Tossex,Unlinked,4,Tossex 120ml Syp,LOW,None,,
Totalvit,Unlinked,4,Totalvit 150ml Syp,LOW,None,,
Traxin,Unlinked,4,Traxin A Syp,LOW,None,,
Tricodex,Unlinked,4,Tricodex 100ml Syp,LOW,None,,
Triz,Unlinked,4,Triz 60ml Syp,LOW,None,,
Valpo,Unlinked,4,Valpo 200ml Syp,LOW,None,,
Ventex,Unlinked,4,Ventex 100ml Syp,LOW,None,,
Viduf,Unlinked,4,Viduf Dx 100ml Syp,LOW,None,,
Zeet,Unlinked,4,Zeet 100ml Expectorant Syp,LOW,None,,
Zeez,Unlinked,4,Zeez Ex Expectorant 100ml Syp,LOW,None,,
Zincofer,Unlinked,4,Zincofer 200ml Syp,LOW,None,,
Zithrocin,Unlinked,4,Zithrocin 100mg 15ml Syp,LOW,None,,
Zovax,Unlinked,4,Zovax 125mg 60ml Syp,LOW,None,,
Zymnet,Unlinked,4,Zymnet 100ml Syp,LOW,None,,
