guessed_trade_name,parent_brand,product_count,sample_product,confidence,linking_method,,
Zandu,Zandu,52,Zandu Swadishta Virechan 50gm Churna,HIGH,Exact Parent Brand Match,,
Parachute,Parachute,51,Parachute H Oil 100ml General,HIGH,Exact Parent Brand Match,,
Renewa,Unlinked,50,Renewa Air Bed,LOW,None,,
Pigeon,Unlinked,49,Pigeon Effective Germ Removal Medium Soft Brush,LOW,None,,
Vicco,Vicco Laboratories,49,Vicco Senso Clean Soft Tooth Brush,HIGH,Exact Parent Brand Match,,
Everyuth,Zydus Wellness,49,Everyuth Naturals Glow Orange Peel Off Mask 100gm Cream,HIGH,Verified Pharma Trade DB,,
Stayfree,Unlinked,49,Stayfree Advanced Xxl 7s Buy 2 Get 1 Free,LOW,None,,
Pepsodent,Pepsodent,48,Pepsodent Expert Tooth Brush,HIGH,Exact Parent Brand Match,,
Kamasutra,Unlinked,47,Kamasutra Strawberry Flavoured Condoms 20s K.s.0001,LOW,None,,
Biotique,Unlinked,47,Biotique Coconut Brightening Instant Glow 50gm Cream,LOW,None,,
Bio,Unlinked,46,Bio B6 Tab Bio 0007,LOW,None,,
Florite,Unlinked,46,Florite Hair Dye Brush,LOW,None,,
Candid,Glenmark Pharmaceuticals,46,Candid 20gm Cream,HIGH,Verified Pharma Trade DB,,
U,Unlinked,45,U B Fair For Men 30gm Cream U B,LOW,None,,
Veet,Reckitt,44,Veet Hair Removing Aloevera,HIGH,Verified Pharma Trade DB,,
V,Unlinked,43,V G Kit Tabs V.g.0001,LOW,None,,
Nestle,Unlinked,43,Nestle Classic 15gm Chocolate,LOW,None,,
Ks,Unlinked,43,Ks Care Optika Cotton Crepe Bandage 5cmx4cm,LOW,None,,
Endotracheal,Unlinked,43,Endotracheal Tube 2 5 Ref100382,LOW,None,,
Uv,Unlinked,42,Uv Avo Spf 25 30gm Lotion U.v.0001,LOW,None,,
Cerelac,Unlinked,42,Cerelac Stage 1 Ragi Nachni Apple Bib 300gm No Refined Sugar,LOW,None,,
Dermadew,Unlinked,42,Dermadew Aloe 150gm Cream,LOW,None,,
Pro,Unlinked,41,Pro Pl Cardamom 200gm Powder Pro 0002,LOW,None,,
Bew,Unlinked,41,Bew Body Mist Orchid Bliss,LOW,None,,
A,Unlinked,41,A To Z Woman Cap A,LOW,None,,
Park,Unlinked,41,Park Avenue 100gms Cologne Deo,LOW,None,,
Feelsure,Unlinked,41,Feelsure Intimate Wash 100ml Liquid,LOW,None,,
Pantene,Pantene,41,Pantene Anti Dandruff Shampoo 180ml,HIGH,Exact Parent Brand Match,,
Sofy,Unlinked,41,Sofy Bodyfit Slim Xl 28s Sanitary Napkeens,LOW,None,,
Classic,Unlinked,40,Classic Deluxe Ortho Soft Ball,LOW,None,,
Complan,Unlinked,40,Complan Magic Chocolate 500gm Bib,LOW,None,,
Horlicks,GSK India,40,Horlicks Growth Plus Vanilla 400g Bib,HIGH,Verified Pharma Trade DB,,
Sugar,Unlinked,40,Sugar Free Bottle,LOW,None,,
R,Unlinked,40,R Fast Dsr Cap R,LOW,None,,
Ayur,Unlinked,40,Ayur Cold 200ml Cream,LOW,None,,
Head,Unlinked,40,Head N Shoulders Anti Dandruff Shampoo Rs 2,LOW,None,,
Engage,Unlinked,40,Engage Cologne G1 Spray 150ml,LOW,None,,
Glimisave,Unlinked,40,Glimisave 1mg Tab,LOW,None,,
Gluconorm,Lupin,40,Gluconorm G 0 5mg Forte Tab,HIGH,Verified Pharma Trade DB,,
Met,Unlinked,39,Met Neurobion Cap Met 0001,LOW,None,,
Eva,Unlinked,39,Eva Nourising Lip Blam Strawberry Bite Eva,LOW,None,,
Chicco,Unlinked,39,Chicco Physioclean Baby Nose Cleaner 0m,LOW,None,,
Lux,Unlinked,39,Lux Soft Touch 150gm Cream Lux,LOW,None,,
Amrutanjan,Unlinked,38,Amrutanjan Pain Balm Yellow 3 7gm Rs 15,LOW,None,,
Streax,Streax,38,Streax Hair Colour Mini Pack Natural Black,HIGH,Exact Parent Brand Match,,
Denver,Unlinked,38,Denver Deodorant 100gm Black Code,LOW,None,,
Clean,Unlinked,38,Clean And Dry 15gm Cream,LOW,None,,
Fem,Unlinked,38,Fem Hair Removing Blue 25gm Cream Fem,LOW,None,,
Sensodyne,Sensodyne,37,Sensodyne Pronamel 40gm Fresh Breath,HIGH,Exact Parent Brand Match,,
Telma,Glenmark Pharmaceuticals,37,Telma 20mg Tab,HIGH,Verified Pharma Trade DB,,
Joy,Unlinked,36,Joy Glysilk Glycerine 50ml Cream,LOW,None,,
Nicotex,Cipla Health,36,Nicotex 2mg Tin Mint Plus 41 3 Extra Gums,HIGH,Verified Pharma Trade DB,,
Liquid,Unlinked,36,Liquid Paraffin 100ml Uhf Chemicals,LOW,None,,
Sunsilk,Sunsilk,35,Sunsilk Coconut Water N Aloevera 180ml Conditioner,HIGH,Exact Parent Brand Match,,
Skore,Unlinked,35,Skore Banana 3s Condoms,LOW,None,,
Knee,Unlinked,35,Knee Support M Dyna,LOW,None,,
Marvel,Unlinked,35,Marvel Knee Support Open Patella Coolprene L,LOW,None,,
Teddyy,Unlinked,35,Teddyy Baby Wipes 72n,LOW,None,,
Ns,Alkem Laboratories,34,Ns Q10 Softgel Cap Ns,MEDIUM,URL Manufacturer Slug,,
Pure,Unlinked,34,Pure Nutrition B Complex 60s Veg Cap,LOW,None,,
Vlcc,Unlinked,34,Vlcc Youth Booster Cream,LOW,None,,
Friends,Unlinked,33,Friends Pigeon Soft Tooth Brush,LOW,None,,
Olay,Unlinked,33,Olay Natural Aura Day Spf 15 50gm Cream,LOW,None,,
Zifi,Unlinked,33,Zifi Oral 10ml Drops,LOW,None,,
Odonil,Unlinked,33,Odonil Room Spray Buy 2 Get 1 Free,LOW,None,,
Pedigree,Unlinked,33,Pedigree Chicken N Rice In Gravy 80g,LOW,None,,
Lotus,Unlinked,33,Lotus Apriscrub Fresh Apricot Scrub 100 Gm,LOW,None,,
Zoryl,Intas Pharmaceuticals,33,Zoryl 0 5mg Tab,HIGH,Verified Pharma Trade DB,,
Cal,Unlinked,32,Cal Aid Cap Cal 0001,LOW,None,,
Ensure,Abbott India,32,Ensure Chocolate 200gm Bib,HIGH,Verified Pharma Trade DB,,
Pediasure,Abbott India,32,Pediasure 7 Chocolate 200gm Bib,HIGH,Verified Pharma Trade DB,,
Hair,Unlinked,32,Hair Tamin Cap,LOW,None,,
Banjaras,Unlinked,32,Banjaras Almond Moisturizing 50gm Cream,LOW,None,,
Feel,Unlinked,32,Feel Sure Premium Underpad L 90x60cm 10s Medplus,LOW,None,,
All,Unlinked,31,All Out Pluggy 63 All,LOW,None,,
Johnson,Unlinked,31,Johnson Baby Care Collections Blue,LOW,None,,
Ultra,Unlinked,31,Ultra Fem Cap,LOW,None,,
Dispovan,Unlinked,31,Dispovan Insulin Syringe 1ml U40 30gx 5 16,LOW,None,,
Neo,Charak Pharma,30,Neo Hepatex 10ml Vial Neo 0005,MEDIUM,URL Manufacturer Slug,,
Absorbent,Unlinked,30,Absorbent Cotton Gauze 30cmx1m Aanand Product,LOW,None,,
Groviva,Unlinked,30,Groviva Chocolate Flavour 1kg Bib,LOW,None,,
Pushkaraj,Unlinked,30,Pushkaraj Ragi Delights Malt Apple Cherry 250gm Bib,LOW,None,,
Similac,Abbott India,30,Similac Advance Stage 1 400gm Bib,HIGH,Verified Pharma Trade DB,,
Z,Unlinked,30,Z Brom Eye 5ml Drops Z Br0001,LOW,None,,
The,Unlinked,30,The Cal 60k Cap,LOW,None,,
Hansaplast,Unlinked,30,Hansaplast Cotton Crepe Bandage 10cm,LOW,None,,
Prolene,Unlinked,30,Prolene 4 0 W8557 Suture 90cm,LOW,None,,
Vicks,P&G,30,Vicks Vcd Bag Ginger 20s Cough Drop,HIGH,Verified Pharma Trade DB,,
Foley,Unlinked,30,Foley Catheter 2 Way Silicone 14fg,LOW,None,,
Fiama,Unlinked,30,Fiama Gel Bar Lemongrass N Jojoba Pack Of 3,LOW,None,,
Savlon,Unlinked,30,Savlon Glycerin Soap 125gm,LOW,None,,
Littles,Unlinked,30,Littles Baby Wipes 80s Lid Pack Of 2,LOW,None,,
Telsartan,Unlinked,30,Telsartan 20mg 28s Tab,LOW,None,,
Accusure,Unlinked,29,Accusure Digital Thermometer Mt 1027,LOW,None,,
Wipro,Unlinked,29,Wipro Soap 75 Gm Milk N Almonds,LOW,None,,
Medi,Unlinked,29,Medi Wrap 6cm Crepe Bandage,LOW,None,,
Pro360,Unlinked,29,Pro360 Diabetic Care Badam Flavour 200gm Bib,LOW,None,,
Venusia,Unlinked,29,Venusia 100gm Cream,LOW,None,,
Medimix,Unlinked,29,Medimix Ayurvedic Soap 75gm,LOW,None,,
Ctd,Unlinked,29,Ctd 12 5mg Tab Ctd,LOW,None,,
Glycimep,Unlinked,29,Glycimep Gp 0 5mg Tab,LOW,None,,
Baby,Dove,28,Baby Mask Use With Cipla Spacers,MEDIUM,URL Manufacturer Slug,,
Tresemme,Unlinked,28,Tresemme Lamellar Gloss 85ml Conditioner,LOW,None,,
Pee,Unlinked,28,Pee Safe Toilet Seat Sanitizer 75ml Floral Pee,LOW,None,,
Volini,Sun Pharmaceutical Industries,28,Volini 100gm Gel,HIGH,Verified Pharma Trade DB,,
Glucon,Unlinked,28,Glucon D Immuno Volt Strawberry 18gm Rs 10,LOW,None,,
Diapride,Unlinked,28,Diapride 1mg Tab,LOW,None,,
Glycomet,USV,28,Glycomet 1gm Tab,HIGH,Verified Pharma Trade DB,,
Auto,Unlinked,27,Auto Flow Ice Bag Rubberized 8,LOW,None,,
Dexolac,Unlinked,27,Dexolac Stage 1 Infant Formula 1 2kg Bib,LOW,None,,
Hb,Unlinked,27,Hb Cal M Forte Cap Hb,LOW,None,,
Kesh,Unlinked,27,Kesh King Ayurvedic Capsules,LOW,None,,
Foracort,Cipla,27,Foracort 200 Ciphaler,HIGH,Verified Pharma Trade DB,,
Kelloggs,Unlinked,27,Kelloggs Corn Flakes 250g,LOW,None,,
Listerine,Unlinked,27,Listerine Mouth Wash 500ml Gargle,LOW,None,,
Santoor,Unlinked,27,Santoor 4s Pack Soap 70gm,LOW,None,,
Calcium,Sandoz India,27,Calcium Harson 10ml Inj,MEDIUM,URL Manufacturer Slug,,
Gemer,Unlinked,27,Gemer 0 5mg Tab,LOW,None,,
F,Unlinked,26,F M L Forte Eye 5ml Drops F.m.0002,LOW,None,,
Celevida,Unlinked,26,Celevida Diafiber 30n X 12gm Bib,LOW,None,,
